Comment,Type
Keep the oranges in the bin.,Positive
Don't throw the oranges on the floor.,Negative
Hold the carton with both hands.,Positive
Don't drop that carton of eggs.,Negative
"You may ask me any questions you want, but please say it with respect/nicely.",Positive
Talk to him; tell him what you want/ use your words.,Positive
Don't you talk to me in that tone of voice.,Negative
I bet you could place the bread gently into the basket.,Positive
Stop hitting.,Negative
Maybe we can have a special treat at home,Positive
Don't squeeze the bread.,Negative
Don't ask for everything you see.,Negative
